|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:03:22 |        12.36 |        11.89 |      76.4227 |      70.7085 |      1.0000e-04 |
|       1 |          50 |       00:08:47 |         1.46 |         1.55 |       1.0672 |       1.2008 |      1.0000e-04 |
|       1 |         100 |       00:14:11 |         1.18 |         1.19 |       0.6925 |       0.7085 |      1.0000e-04 |
|       1 |         150 |       00:19:37 |         1.00 |         1.09 |       0.4978 |       0.5902 |      1.0000e-04 |
|       1 |         200 |       00:25:01 |         0.99 |         1.03 |       0.4854 |       0.5332 |      1.0000e-04 |
|       1 |         250 |       00:30:25 |         1.07 |         0.99 |       0.5675 |       0.4888 |      1.0000e-04 |
|       1 |         300 |       00:35:50 |         1.00 |         0.96 |       0.4998 |       0.4601 |      1.0000e-04 |
|       1 |         350 |       00:41:13 |         0.94 |         0.94 |       0.4419 |       0.4429 |      1.0000e-04 |
|       1 |         400 |       00:46:29 |         0.81 |         0.93 |       0.3305 |       0.4330 |      1.0000e-04 |
|       2 |         450 |       00:51:46 |         0.84 |         0.91 |       0.3511 |       0.4156 |      1.0000e-04 |
|       2 |         500 |       00:57:07 |         0.75 |         0.90 |       0.2816 |       0.4027 |      1.0000e-04 |
|       2 |         550 |       01:02:33 |         0.77 |         0.89 |       0.2962 |       0.3954 |      1.0000e-04 |
|       2 |         600 |       01:07:49 |         0.83 |         0.87 |       0.3465 |       0.3825 |      1.0000e-04 |
|       2 |         650 |       01:13:04 |         0.76 |         0.87 |       0.2853 |       0.3790 |      1.0000e-04 |
|       2 |         700 |       01:18:22 |         0.77 |         0.86 |       0.2977 |       0.3671 |      1.0000e-04 |
|       2 |         750 |       01:23:41 |         0.74 |         0.85 |       0.2727 |       0.3634 |      1.0000e-04 |
|       2 |         800 |       01:28:58 |         0.76 |         0.85 |       0.2859 |       0.3593 |      1.0000e-04 |
|       2 |         850 |       01:34:14 |         0.71 |         0.84 |       0.2544 |       0.3550 |      1.0000e-04 |
|       3 |         900 |       01:39:34 |         0.90 |         0.84 |       0.4053 |       0.3505 |      1.0000e-04 |
|       3 |         950 |       01:44:55 |         0.75 |         0.83 |       0.2827 |       0.3455 |      1.0000e-04 |
|       3 |        1000 |       01:50:12 |         0.75 |         0.83 |       0.2832 |       0.3416 |      1.0000e-04 |
|       3 |        1050 |       01:55:30 |         0.69 |         0.83 |       0.2413 |       0.3430 |      1.0000e-04 |
