|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:03:28 |        13.22 |         8.67 |      87.4123 |      37.5835 |          0.0010 |
|       1 |          50 |       00:10:06 |         1.13 |         1.11 |       0.6397 |       0.6185 |          0.0010 |
|       1 |         100 |       00:16:39 |         0.97 |         1.11 |       0.4697 |       0.6140 |          0.0010 |
|       1 |         150 |       00:23:16 |         0.95 |         1.05 |       0.4493 |       0.5525 |          0.0010 |
|       1 |         200 |       00:29:53 |         0.95 |         0.95 |       0.4512 |       0.4474 |          0.0010 |
|       1 |         250 |       00:36:25 |         0.83 |         1.01 |       0.3485 |       0.5126 |          0.0010 |
|       1 |         300 |       00:42:59 |         0.76 |         0.96 |       0.2901 |       0.4617 |          0.0010 |
|       1 |         350 |       00:49:27 |         0.84 |         0.89 |       0.3509 |       0.3931 |          0.0010 |
|       1 |         400 |       00:55:57 |         0.73 |         0.86 |       0.2659 |       0.3723 |          0.0010 |
|       2 |         450 |       01:02:27 |         0.84 |         0.84 |       0.3529 |       0.3490 |          0.0010 |
|       2 |         500 |       01:08:59 |         0.82 |         0.81 |       0.3382 |       0.3295 |          0.0010 |
|       2 |         550 |       01:15:31 |         0.79 |         0.82 |       0.3116 |       0.3399 |          0.0010 |
|       2 |         600 |       01:22:01 |         0.83 |         0.87 |       0.3479 |       0.3825 |          0.0010 |
|       2 |         650 |       01:28:29 |         0.63 |         0.77 |       0.2014 |       0.2993 |          0.0010 |
|       2 |         700 |       01:35:01 |         0.73 |         0.94 |       0.2664 |       0.4401 |          0.0010 |
|       2 |         750 |       01:41:28 |         0.79 |         0.79 |       0.3100 |       0.3142 |          0.0010 |
|       2 |         800 |       01:47:57 |         0.72 |         0.83 |       0.2588 |       0.3417 |          0.0010 |
|       2 |         850 |       01:54:26 |         0.68 |         0.79 |       0.2291 |       0.3120 |          0.0010 |
|       3 |         900 |       02:00:54 |         0.69 |         0.73 |       0.2355 |       0.2643 |          0.0010 |
|       3 |         950 |       02:07:21 |         0.66 |         0.78 |       0.2170 |       0.3004 |          0.0010 |
|       3 |        1000 |       02:13:51 |         0.72 |         0.76 |       0.2589 |       0.2877 |          0.0010 |
|       3 |        1050 |       02:20:21 |         0.64 |         0.76 |       0.2024 |       0.2913 |          0.0010 |
|       3 |        1100 |       02:26:43 |         0.76 |         0.69 |       0.2901 |       0.2400 |          0.0010 |
